Horizon,Model,Fold,RMSE_Diff,MAE_Diff
3-day,Attention-context model,3,0.016257726376348466,0.013612200278834453
3-day,Attention-context model,4,0.012314192526699748,0.012928943673872172
3-day,Attention-context model,5,0.02520329706185074,0.02632289720266226
3-day,Attention-context model,6,0.010698353134042632,0.01189575448743107
3-day,Attention-context model,7,0.006673864725028365,0.006985906625413235
3-day,Attention-context model,8,0.007001303038712173,0.003385097854048953
3-day,Attention-context model,9,0.00808366060557357,0.007441486798718477
3-day,Convolutional / DCN baseline,1,-0.0006325823227245481,-0.0011059958002685166
3-day,Convolutional / DCN baseline,2,0.00034667418673674233,0.00022954849991948384
3-day,Convolutional / DCN baseline,3,0.011650995607837479,0.008820595477785298
3-day,Convolutional / DCN baseline,4,0.004990420278788717,0.00848109397144679
3-day,Convolutional / DCN baseline,5,0.011610004982575993,0.008799653182116635
3-day,Convolutional / DCN baseline,6,0.01801592682234949,0.014425371259615832
3-day,Convolutional / DCN baseline,7,0.0007170215650697843,-0.0003839846748936275
3-day,Convolutional / DCN baseline,8,0.01410341822998415,0.01265778652935598
3-day,Convolutional / DCN baseline,9,0.0016104336199450273,0.0017820701740371737
3-day,Convolutional / DCN baseline,10,0.006613275816191748,0.007335674770134089
3-day,LSTM baseline,1,0.01087623806618318,0.0077299638184721575
3-day,LSTM baseline,2,0.00629748895637202,0.004383063520324214
3-day,LSTM baseline,3,0.01929612596508272,0.0168178375915465
3-day,LSTM baseline,4,0.0035027380169054614,0.006919287649300873
3-day,LSTM baseline,5,0.004067067085246692,0.005858590628415941
3-day,LSTM baseline,6,0.02138306526676178,0.016977216667874752
3-day,LSTM baseline,7,0.004863397559307342,0.0029079710239493725
3-day,LSTM baseline,8,0.013278080439723297,0.0121263489694464
3-day,LSTM baseline,9,0.006759841129802394,0.006368006267861354
3-day,Transformer,1,0.01097793805019072,0.006441195536067139
3-day,Transformer,2,0.03087744198802158,0.025836351687867465
3-day,Transformer,3,0.029269562176377148,0.02488646342070871
3-day,Transformer,4,0.014717359229143717,0.017775883148026833
3-day,Transformer,5,0.027616745690426624,0.026316736618851144
3-day,Transformer,6,0.02325585110941454,0.01873511557498877
3-day,Transformer,7,0.003640203550504102,0.001979214399882006
3-day,Transformer,8,0.0012039828338247793,-0.0007099742323198599
3-day,Transformer,9,0.008070178710899406,0.005892670114768593
7-day,Attention-context model,1,0.01635622191352941,0.01365413417530039
7-day,Attention-context model,2,0.04758642615941709,0.04253157746997116
7-day,Attention-context model,3,0.013261384892466394,0.012473690241466377
7-day,Attention-context model,4,0.016130632249033043,0.020038954691254912
7-day,Attention-context model,5,0.009148922658840444,0.007299768458881042
7-day,Attention-context model,6,0.010655733267855988,0.012811683055960955
7-day,Attention-context model,7,-0.000981591275267979,-0.0011160646284055463
7-day,Attention-context model,8,0.014831953710684978,0.010684979087083941
7-day,Attention-context model,9,0.020998465090560206,0.018350236751045294
7-day,Convolutional / DCN baseline,1,0.008190616655108465,0.0019295429422830773
7-day,Convolutional / DCN baseline,2,0.005184972595693227,-0.002440744428895414
7-day,Convolutional / DCN baseline,3,0.03135239593478398,0.029227681752915187
7-day,Convolutional / DCN baseline,4,-0.007325832538955843,-0.0018014672755574113
7-day,Convolutional / DCN baseline,5,0.031078351283954114,0.024983050565545756
7-day,Convolutional / DCN baseline,6,0.01005278208966836,0.011892578210487666
7-day,Convolutional / DCN baseline,7,-0.0002602431860038862,-0.00015971351022017397
7-day,Convolutional / DCN baseline,8,0.013366065475219999,0.012129599313872537
7-day,Convolutional / DCN baseline,9,0.00027283855385504263,-0.00046756152684488544
7-day,Convolutional / DCN baseline,10,0.025542589407727648,0.01959537087347018
7-day,LSTM baseline,1,0.011692273476013412,0.0081146374743098
7-day,LSTM baseline,2,0.006205674166615993,0.004214793650259355
7-day,LSTM baseline,3,0.03147827066823748,0.024038882671422207
7-day,LSTM baseline,4,-0.006741791547443983,-0.0015737023722076013
7-day,LSTM baseline,5,0.00014318760372233202,0.00065714208292144
7-day,LSTM baseline,6,0.03370955148600095,0.03208067002980822
7-day,LSTM baseline,7,0.007576719150701114,0.005953342785644956
7-day,LSTM baseline,8,0.020577994779941197,0.018686217041680227
7-day,LSTM baseline,9,0.006105366717267836,0.004971262760408143
7-day,Transformer,1,0.025220614645058925,0.024313764026457525
7-day,Transformer,2,0.014927122740243437,0.014224534329606006
7-day,Transformer,3,0.02990068301609855,0.026212928093387627
7-day,Transformer,4,0.027513879281264954,0.028139928104220377
7-day,Transformer,5,0.040485504361611385,0.03378806109634583
7-day,Transformer,6,0.03247798430101881,0.025288947118491008
7-day,Transformer,7,0.0021132564116804753,0.0017158662226856407
7-day,Transformer,8,0.009825135448704725,0.006957696597172346
7-day,Transformer,9,0.01779851585167099,0.013128328314977691
