Fold,Train_End_Index,Test_Start_Index,Test_End_Index,n,rmse,mae,f1,accuracy,naive_n,naive_rmse,naive_mae,naive_f1,naive_accuracy,Horizon,Feature_Set,Feature_Count
6,1192,1192,1252,60,0.07166013145199156,0.05829526415625055,0.33962264150943394,0.4166666666666667,60,0.01655562621345276,0.012328461132757632,0.0,0.43333333333333335,1,all_modalities,174
7,1252,1252,1312,60,0.059147178366489576,0.04565135409547969,0.6101694915254238,0.6166666666666667,60,0.014985876609964132,0.011370874831544763,0.0,0.55,1,all_modalities,174
8,1312,1312,1372,60,0.05958375305773982,0.04628934215921684,0.5161290322580645,0.5,60,0.021961504390777053,0.01748800740596934,0.0,0.5,1,all_modalities,174
9,1372,1372,1432,60,0.04600688559297677,0.03661576736152116,0.6129032258064516,0.6,60,0.019436333845648354,0.01428129986038086,0.0,0.5,1,all_modalities,174
10,1432,1432,1487,55,0.06059792779743304,0.04666215816028633,0.46153846153846156,0.4909090909090909,55,0.03649029076829718,0.024689085517175347,0.0,0.6181818181818182,1,all_modalities,174
1,892,892,952,60,0.1111006572418892,0.08707889120589532,0.6,0.6666666666666666,60,0.05318964345265602,0.04251631474020627,0.0,0.5,3,market_only,61
2,952,952,1012,60,0.11930160262763803,0.0959839379753224,0.5079365079365079,0.48333333333333334,60,0.055084343558826514,0.04119571725839275,0.0,0.31666666666666665,3,market_only,61
3,1012,1012,1072,60,0.14765757190460263,0.12049170718788306,0.43137254901960786,0.5166666666666667,60,0.038418880235224204,0.03170796064073982,0.0,0.45,3,market_only,61
4,1072,1072,1132,60,0.11061787141755997,0.0893194630378528,0.5454545454545454,0.5,60,0.04003698751348285,0.028450583552458376,0.0,0.5666666666666667,3,market_only,61
5,1132,1132,1192,60,0.10444776774121999,0.0845415672943233,0.41379310344827586,0.43333333333333335,60,0.04039553105408562,0.029387208156245157,0.0,0.31666666666666665,3,market_only,61
6,1192,1192,1252,60,0.12025126852221125,0.09969568526107085,0.05555555555555555,0.43333333333333335,60,0.02763369320007658,0.02065379809414969,0.0,0.4666666666666667,3,market_only,61
7,1252,1252,1312,60,0.07967394417445328,0.06471482652674346,0.33962264150943394,0.4166666666666667,60,0.02299674340728317,0.01912472080785367,0.0,0.45,3,market_only,61
8,1312,1312,1372,60,0.090747970897196,0.07712511569810647,0.43636363636363634,0.48333333333333334,60,0.04036444511718945,0.03405465938617488,0.0,0.5833333333333334,3,market_only,61
9,1372,1372,1432,60,0.05736949459648907,0.045971074484238164,0.5079365079365079,0.48333333333333334,60,0.03297297296882167,0.026079022510296448,0.0,0.4666666666666667,3,market_only,61
10,1432,1432,1487,55,0.08450814809564745,0.06549522706017771,0.49056603773584906,0.509090909090909,55,0.054418543482146656,0.04108851876254808,0.0,0.6181818181818182,3,market_only,61
1,892,892,952,60,0.07318586585404153,0.05788169463188184,0.6764705882352942,0.6333333333333333,60,0.05318964345265602,0.04251631474020627,0.0,0.5,3,market_plus_google_trends,78
2,952,952,1012,60,0.09638848126531922,0.07661838525377469,0.6197183098591549,0.55,60,0.055084343558826514,0.04119571725839275,0.0,0.31666666666666665,3,market_plus_google_trends,78
3,1012,1012,1072,60,0.16391830932015736,0.140020138865553,0.30434782608695654,0.4666666666666667,60,0.038418880235224204,0.03170796064073982,0.0,0.45,3,market_plus_google_trends,78
4,1072,1072,1132,60,0.1741127272372667,0.1486704813300038,0.6172839506172839,0.48333333333333334,60,0.04003698751348285,0.028450583552458376,0.0,0.5666666666666667,3,market_plus_google_trends,78
5,1132,1132,1192,60,0.12683591875842554,0.10828090132831918,0.6410256410256411,0.5333333333333333,60,0.04039553105408562,0.029387208156245157,0.0,0.31666666666666665,3,market_plus_google_trends,78
6,1192,1192,1252,60,0.11185358000890713,0.09328953852217658,0.34615384615384615,0.43333333333333335,60,0.02763369320007658,0.02065379809414969,0.0,0.4666666666666667,3,market_plus_google_trends,78
7,1252,1252,1312,60,0.08818084090617041,0.07035263510777565,0.5,0.5333333333333333,60,0.02299674340728317,0.01912472080785367,0.0,0.45,3,market_plus_google_trends,78
8,1312,1312,1372,60,0.08190498508331862,0.06804887578516598,0.35555555555555557,0.5166666666666667,60,0.04036444511718945,0.03405465938617488,0.0,0.5833333333333334,3,market_plus_google_trends,78
9,1372,1372,1432,60,0.05239931642897832,0.04411940214322676,0.6349206349206349,0.6166666666666667,60,0.03297297296882167,0.026079022510296448,0.0,0.4666666666666667,3,market_plus_google_trends,78
10,1432,1432,1487,55,0.08117826120135653,0.06475630944993428,0.5333333333333333,0.4909090909090909,55,0.054418543482146656,0.04108851876254808,0.0,0.6181818181818182,3,market_plus_google_trends,78
1,892,892,952,60,0.0921903324197796,0.07959087149682186,0.5964912280701754,0.6166666666666667,60,0.05318964345265602,0.04251631474020627,0.0,0.5,3,market_plus_llm_news,158
2,952,952,1012,60,0.0889243522271475,0.07314413472401556,0.7160493827160493,0.6166666666666667,60,0.055084343558826514,0.04119571725839275,0.0,0.31666666666666665,3,market_plus_llm_news,158
3,1012,1012,1072,60,0.18898737686974704,0.16505977836567393,0.4074074074074074,0.4666666666666667,60,0.038418880235224204,0.03170796064073982,0.0,0.45,3,market_plus_llm_news,158
4,1072,1072,1132,60,0.10734366323495007,0.08035815786353587,0.5483870967741935,0.5333333333333333,60,0.04003698751348285,0.028450583552458376,0.0,0.5666666666666667,3,market_plus_llm_news,158
5,1132,1132,1192,60,0.09920239169764393,0.08216588051703723,0.4666666666666667,0.4666666666666667,60,0.04039553105408562,0.029387208156245157,0.0,0.31666666666666665,3,market_plus_llm_news,158
6,1192,1192,1252,60,0.11080458367728901,0.09300477561046498,0.09090909090909091,0.3333333333333333,60,0.02763369320007658,0.02065379809414969,0.0,0.4666666666666667,3,market_plus_llm_news,158
7,1252,1252,1312,60,0.09534903409896163,0.07722673112204922,0.6129032258064516,0.6,60,0.02299674340728317,0.01912472080785367,0.0,0.45,3,market_plus_llm_news,158
8,1312,1312,1372,60,0.10364176380586257,0.08525501770725748,0.43137254901960786,0.5166666666666667,60,0.04036444511718945,0.03405465938617488,0.0,0.5833333333333334,3,market_plus_llm_news,158
9,1372,1372,1432,60,0.0722376717676786,0.05464474409569987,0.5974025974025974,0.48333333333333334,60,0.03297297296882167,0.026079022510296448,0.0,0.4666666666666667,3,market_plus_llm_news,158
10,1432,1432,1487,55,0.1158448982131139,0.09320277741023396,0.5333333333333333,0.4909090909090909,55,0.054418543482146656,0.04108851876254808,0.0,0.6181818181818182,3,market_plus_llm_news,158
1,892,892,952,60,0.09406926976263412,0.07523880954307775,0.4827586206896552,0.5,60,0.05318964345265602,0.04251631474020627,0.0,0.5,3,external_only_trends_llm,113
2,952,952,1012,60,0.06316247617627145,0.0510565226451087,0.6829268292682927,0.5666666666666667,60,0.055084343558826514,0.04119571725839275,0.0,0.31666666666666665,3,external_only_trends_llm,113
3,1012,1012,1072,60,0.09822832716379001,0.08040882363491422,0.47619047619047616,0.45,60,0.038418880235224204,0.03170796064073982,0.0,0.45,3,external_only_trends_llm,113
4,1072,1072,1132,60,0.0582816748434193,0.046988335314458084,0.5714285714285714,0.5,60,0.04003698751348285,0.028450583552458376,0.0,0.5666666666666667,3,external_only_trends_llm,113
5,1132,1132,1192,60,0.05259417646710462,0.04410897678085823,0.5915492957746479,0.5166666666666667,60,0.04039553105408562,0.029387208156245157,0.0,0.31666666666666665,3,external_only_trends_llm,113
6,1192,1192,1252,60,0.0393422574683985,0.031891195907256815,0.5079365079365079,0.48333333333333334,60,0.02763369320007658,0.02065379809414969,0.0,0.4666666666666667,3,external_only_trends_llm,113
7,1252,1252,1312,60,0.03661057728981376,0.029337221367077834,0.5671641791044776,0.5166666666666667,60,0.02299674340728317,0.01912472080785367,0.0,0.45,3,external_only_trends_llm,113
8,1312,1312,1372,60,0.05067216491541888,0.042241679367079225,0.5333333333333333,0.5333333333333333,60,0.04036444511718945,0.03405465938617488,0.0,0.5833333333333334,3,external_only_trends_llm,113
9,1372,1372,1432,60,0.049992487923941696,0.03747069404931015,0.4117647058823529,0.3333333333333333,60,0.03297297296882167,0.026079022510296448,0.0,0.4666666666666667,3,external_only_trends_llm,113
10,1432,1432,1487,55,0.06097197440218393,0.04355171414941417,0.48,0.5272727272727272,55,0.054418543482146656,0.04108851876254808,0.0,0.6181818181818182,3,external_only_trends_llm,113
1,892,892,952,60,0.06652016956906848,0.05336077734482528,0.6774193548387096,0.6666666666666666,60,0.05318964345265602,0.04251631474020627,0.0,0.5,3,all_modalities,174
2,952,952,1012,60,0.0777988499589413,0.06596205765601021,0.7088607594936709,0.6166666666666667,60,0.055084343558826514,0.04119571725839275,0.0,0.31666666666666665,3,all_modalities,174
3,1012,1012,1072,60,0.16441284841437462,0.14049752758556314,0.36,0.4666666666666667,60,0.038418880235224204,0.03170796064073982,0.0,0.45,3,all_modalities,174
4,1072,1072,1132,60,0.1360190681033045,0.11739452619625042,0.65,0.5333333333333333,60,0.04003698751348285,0.028450583552458376,0.0,0.5666666666666667,3,all_modalities,174
5,1132,1132,1192,60,0.0983855503798321,0.07641287498473766,0.6976744186046512,0.5666666666666667,60,0.04039553105408562,0.029387208156245157,0.0,0.31666666666666665,3,all_modalities,174
6,1192,1192,1252,60,0.10698883226517969,0.08686458229641181,0.24,0.36666666666666664,60,0.02763369320007658,0.02065379809414969,0.0,0.4666666666666667,3,all_modalities,174
7,1252,1252,1312,60,0.10445601287030479,0.08582732192080192,0.4482758620689655,0.4666666666666667,60,0.02299674340728317,0.01912472080785367,0.0,0.45,3,all_modalities,174
8,1312,1312,1372,60,0.088300045073634,0.07394348681491188,0.5,0.5333333333333333,60,0.04036444511718945,0.03405465938617488,0.0,0.5833333333333334,3,all_modalities,174
9,1372,1372,1432,60,0.06678355496826852,0.05659974175818501,0.6027397260273972,0.5166666666666667,60,0.03297297296882167,0.026079022510296448,0.0,0.4666666666666667,3,all_modalities,174
10,1432,1432,1487,55,0.09833637783645932,0.07920008610192339,0.5098039215686274,0.5454545454545454,55,0.054418543482146656,0.04108851876254808,0.0,0.6181818181818182,3,all_modalities,174
1,892,892,952,60,0.20416412990518276,0.16496359006877193,0.6229508196721312,0.6166666666666667,60,0.07265768240196784,0.05929359063016463,0.0,0.48333333333333334,7,market_only,61
2,952,952,1012,60,0.21928296746637918,0.18728044912682495,0.4827586206896552,0.5,60,0.09324083731893384,0.06752109517239109,0.0,0.2833333333333333,7,market_only,61
3,1012,1012,1072,60,0.29947987624119005,0.25195156586264505,0.36363636363636365,0.5333333333333333,60,0.049957301202261536,0.040283958089603014,0.0,0.4166666666666667,7,market_only,61
4,1072,1072,1132,60,0.17335019060725912,0.14189133054780168,0.5,0.5333333333333333,60,0.054082881268763025,0.03966137020837991,0.0,0.6166666666666667,7,market_only,61
5,1132,1132,1192,60,0.15446615666079283,0.11087489982006407,0.5217391304347826,0.45,60,0.05802074363680722,0.04573115956637592,0.0,0.25,7,market_only,61
6,1192,1192,1252,60,0.19387148458896722,0.1706186148211196,0.05128205128205128,0.38333333333333336,60,0.03891648277247503,0.03001503706256682,0.0,0.4,7,market_only,61
7,1252,1252,1312,60,0.1250163858671628,0.09966534484428861,0.47058823529411764,0.55,60,0.033580091675743905,0.02722292160425135,0.0,0.5166666666666667,7,market_only,61
